name,price,rr
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹6,999","10,820 Ratings & 524 Reviews"
"POCO C51 (Royal Blue, 64 GB)","₹6,999","1,156 Ratings & 41 Reviews"
"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299","14,388 Ratings & 905 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,299","14,388 Ratings & 905 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹6,999","10,820 Ratings & 524 Reviews"
"POCO C51 (Power Black, 64 GB)","₹6,999","1,156 Ratings & 41 Reviews"
"Infinix SMART 7 (Night Black, 64 GB)","₹7,299","14,388 Ratings & 905 Reviews"
"POCO C55 (Cool Blue, 64 GB)","₹7,999","10,287 Ratings & 527 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","1,40,457 Ratings & 8,090 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999","1,40,457 Ratings & 8,090 Reviews"
"realme C33 2023 (Sandy Gold, 64 GB)","₹9,999","3,342 Ratings & 103 Reviews"
"realme C33 2023 (Night Sea, 64 GB)","₹9,999","3,342 Ratings & 103 Reviews"
"realme C33 2023 (Aqua Blue, 64 GB)","₹9,999","3,342 Ratings & 103 Reviews"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499","5,036 Ratings & 366 Reviews"
"Infinix HOT 30i (Mirror Black, 64 GB)","₹8,199","1,467 Ratings & 90 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹6,499","1,718 Ratings & 83 Reviews"
"POCO C55 (Power Black, 64 GB)","₹7,999","10,287 Ratings & 527 Reviews"
"Infinix HOT 30i (Glacier Blue, 64 GB)","₹8,199","1,467 Ratings & 90 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
"realme C55 (Sunshower, 128 GB)","₹13,999","5,235 Ratings & 318 Reviews"
"realme C55 (Rainy Night, 128 GB)","₹13,999","5,235 Ratings & 318 Reviews"
"realme C55 (Sunshower, 64 GB)","₹11,999","4,475 Ratings & 297 Reviews"
"realme C55 (Sunshower, 64 GB)","₹10,999","14,104 Ratings & 967 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹11,999","4,475 Ratings & 297 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹6,499","1,718 Ratings & 83 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,499","14,275 Ratings & 1,251 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹13,499","16,534 Ratings & 1,399 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999","1,40,457 Ratings & 8,090 Reviews"
"POCO C50 (Country Green, 32 GB)","₹5,749","20,562 Ratings & 919 Reviews"
"realme C55 (Sunshower, 128 GB)","₹13,999","5,235 Ratings & 318 Reviews"
"realme C55 (Sunshower, 64 GB)","₹11,999","4,475 Ratings & 297 Reviews"
"POCO M4 Pro (Power Black, 128 GB)","₹13,499","16,534 Ratings & 1,399 Reviews"
"realme C55 (Sunshower, 64 GB)","₹10,999","14,104 Ratings & 967 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹11,999","4,475 Ratings & 297 Reviews"
"realme C20 (Cool Grey, 32 GB)","₹5,999","2,98,236 Ratings & 14,111 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹10,999","14,104 Ratings & 967 Reviews"
"realme C11 2021 (Cool Blue, 64 GB)","₹7,499","2,08,910 Ratings & 11,288 Reviews"
"realme C55 (Rainy Night, 128 GB)","₹13,999","5,235 Ratings & 318 Reviews"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999","7,419 Ratings & 631 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
"realme C20 (Cool Blue, 32 GB)","₹5,999","2,98,236 Ratings & 14,111 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,199","19,631 Ratings & 1,047 Reviews"
"POCO M4 5G (Power Black, 64 GB)","₹11,999","68,829 Ratings & 4,930 Reviews"
"POCO M4 5G (Power Black, 128 GB)","₹13,999","35,379 Ratings & 2,604 Reviews"
"realme C11 2021 (Cool Grey, 32 GB)","₹5,999","2,35,794 Ratings & 10,221 Reviews"
"REDMI A1+ (Light Green, 32 GB)","₹6,499","1,718 Ratings & 83 Reviews"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999","7,419 Ratings & 631 Reviews"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,499","2,18,444 Ratings & 13,620 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,799","30,212 Ratings & 1,705 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,799","30,212 Ratings & 1,705 Reviews"
"Infinix Smart 6 HD (Force Black, 32 GB)","₹5,799","30,212 Ratings & 1,705 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,199","19,631 Ratings & 1,047 Reviews"
"realme C35 (Glowing Black, 64 GB)","₹10,999","1,82,031 Ratings & 10,208 Reviews"
"realme 10 (Rush Black, 64 GB)","₹12,499","6,562 Ratings & 516 Reviews"
"REDMI A1+ (Black, 32 GB)","₹6,499","1,718 Ratings & 83 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999","1,037 Ratings & 39 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999","1,037 Ratings & 39 Reviews"
"POCO M4 5G (Power Black, 128 GB)","₹13,999","35,379 Ratings & 2,604 Reviews"
"realme C20 (Cool Grey, 32 GB)","₹5,999","2,98,236 Ratings & 14,111 Reviews"
"MOTOROLA e32 (Arctic Blue, 64 GB)","₹8,499","2,239 Ratings & 185 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999","4,614 Ratings & 176 Reviews"
"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999","7,445 Ratings & 282 Reviews"
"realme C35 (Glowing Black, 128 GB)","₹11,999","1,82,031 Ratings & 10,208 Reviews"
"POCO C50 (Country Green, 32 GB)","₹5,749","20,562 Ratings & 919 Reviews"
"POCO C50 (Royal Blue, 32 GB)","₹6,499","7,209 Ratings & 459 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999","7,445 Ratings & 282 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999","7,445 Ratings & 282 Reviews"
"realme C35 (Glowing Black, 128 GB)","₹12,999","16,365 Ratings & 993 Reviews"
"POCO C55 (Cool Blue, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
