name,price,rr,brand,orignal_price,discount
32.5 L Backpack Fizz Sch Bag,"₹1,129",,AMERICAN TOURISTER,"₹2,300",50% off
Small 20 L Backpack Poliyester School College Multipurp...,₹315,,Pro Life,"₹1,799",82% off
Medium 25 L Backpack DAYPACK Small Bags Backpack for da...,₹299,,PROVOGUE,₹899,66% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
Large 38 L Laptop Backpack Large Historage backpack Tra...,₹664,,Roadster,"₹1,999",66% off
Medium 21 L Backpack Classic Multipurpose,₹315,,Pro Life,₹999,68% off
41.5 L Laptop Backpack Spacy Freeride unisex bag with r...,₹739,,PROVOGUE,"₹2,999",75% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
Large 35 L Laptop Backpack simn.1552/1 orange black off...,₹684,,Flycraft,"₹2,699",74% off
Large 35 L Backpack Bingo 01,₹987,,SKYBAGS,"₹1,900",48% off
Large 35 L Laptop Backpack Axe Unisex laptop/college/sc...,₹491,,WROGN,"₹2,499",80% off
Medium 30 L Laptop Backpack Backpack For College School...,₹419,,WROGN,"₹2,999",86% off
Large 70 L Backpack UNISEX WaterProof Mountain Rucksack...,₹664,,aob,"₹2,999",77% off
41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,₹739,,PROVOGUE,"₹4,499",83% off
55 L Laptop Backpack Laptop backpack spacy unisex backp...,₹744,,WROGN,"₹3,999",81% off
Small 10 L Backpack RAGER 10L DAYPACK BLACK,₹489,,SKYBAGS,"₹1,120",56% off
Medium 25 L Laptop Backpack DAYPACK Small Bags Backpack...,₹286,,PROVOGUE,₹999,71% off
Small 15 L Backpack DAYPACK,₹399,,SAFARI,₹799,50% off
Medium 25 L Backpack DAYPACK Small Bags Backpack for da...,₹299,,PROVOGUE,₹899,66% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Medium 27 L Backpack GRAF 27L BACKPACK BLUE,₹899,,SKYBAGS,"₹2,000",55% off
Medium 25 L Backpack DAYPACK Bags Backpack 25L Provogue...,₹272,,familiar,₹999,72% off
35.5 L Laptop Backpack Unisex bag with rain cover Lapto...,₹739,,PROVOGUE,"₹3,499",78% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Medium 25 L Backpack DAYPACK Bags Backpack 25L Provogue...,₹272,,familiar,₹999,72% off
32.5 L Backpack Fizz Sch Bag,"₹1,129",,AMERICAN TOURISTER,"₹2,300",50% off
Medium 30 L Laptop Backpack Backpack For College School...,₹454,,WROGN,"₹2,999",84% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Large 40 L Laptop Backpack Unisex Bag with rain cover O...,₹774,,PROVOGUE,"₹4,999",84% off
Medium 26 L Backpack Jacquard Camo,₹849,,Gear,"₹1,299",34% off
Large 32 L Laptop Backpack Large Laptop Backpack Unisex...,₹521,,Sonex,₹999,47% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Medium 30 L Laptop Backpack Backpack For College School...,₹454,,WROGN,"₹2,999",84% off
Large 40 L Laptop Backpack Backpack For College School ...,₹599,,Roadster,"₹2,999",80% off
21.65 L Backpack BRAT,₹789,,SKYBAGS,"₹2,100",62% off
Medium 24 L Backpack PROTECTOR LP BP BLACK,"₹1,099",,ARISTOCRAT,"₹3,400",67% off
32.5 L Backpack Mist Sch Bag,"₹1,099",,AMERICAN TOURISTER,"₹2,600",57% off
Large 40 L Laptop Backpack TRAVEL BAG WITH HIP STRAP AN...,₹453,,ZONAL,"₹1,999",77% off
Medium 22 L Backpack Pioneer,₹899,,PUMA,"₹1,499",40% off
Medium 30 L Backpack laptop Bag||College Bag||BACKPACK|...,₹381,,HP,"₹1,108",65% off
Large 32 L Backpack NEW NEON 12,₹871,,SKYBAGS,"₹1,900",54% off
21.65 L Backpack BRAT,₹699,,SKYBAGS,"₹2,010",65% off
Small 20 L Backpack Modern ECO 5 Backpack,₹449,,Gear,₹999,55% off
Medium 25 L Laptop Backpack for Office/College/School/T...,₹431,,TRAVEL POINT,"₹2,999",85% off
Medium 30 L Laptop Backpack Backpack For College School...,₹454,,WROGN,"₹2,999",84% off
Medium 30 L Backpack Neavy,₹672,,NorthZone,"₹1,999",66% off
Medium 22 L Backpack VOXEL 22L BACKPACK BLUE,₹799,,SKYBAGS,"₹1,800",55% off
23.5 L Backpack FIND,₹799,,SAFARI,"₹1,958",59% off
Medium 30 L Laptop Backpack simna.1550 black yellow cas...,₹479,,Flycraft,"₹1,599",70% off
Small 15 L Backpack Unisex Backpack For School/Office/T...,₹281,,PROVOGUE,"₹1,499",81% off
Medium 28 L Backpack BEATLE NXT 01 LAPTOP BACKPACK (E) ...,"₹1,199",,SKYBAGS,"₹2,650",54% off
Medium 25 L Backpack 25ltr Laptop Backpack Spacy unisex...,₹599,,parjuar,"₹1,499",60% off
45.5 L Laptop Backpack Spacy unisex bag with rain cover...,₹902,,PROVOGUE,"₹5,449",83% off
Small 12 L Backpack DAYPACK Drawstring Backpack Bag Dor...,₹234,,PROVOGUE,₹699,66% off
39.5 L Laptop Backpack Large Laptop Backpack Spacy unis...,₹704,,PROVOGUE,"₹3,999",82% off
Small 10 L Backpack RAGER 10L DAYPACK BLACK,₹489,,SKYBAGS,"₹1,120",56% off
Large 40 L Backpack Colossal,"₹1,379",,Wildcraft,"₹3,099",55% off
Large 35 L Laptop Backpack Medium 35 L Backpack Premium...,₹382,,zikrefast,"₹2,499",84% off
Large 35 L Laptop Backpack Axe Unisex laptop/college/sc...,₹491,,WROGN,"₹2,499",80% off
Medium 30 L Laptop Backpack Backpack For College School...,₹419,,WROGN,"₹2,999",86% off
Medium 30 L Laptop Backpack For College School Travel |...,₹419,,WROGN,"₹2,999",86% off
Large 45 L Laptop Backpack Lightweight waterproof Mount...,₹412,,urban carrier,"₹2,899",85% off
Large 36 L Backpack Bingo Plus 03,"₹1,331",,SKYBAGS,"₹1,998",33% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,₹286,,PLEXY,"₹1,499",80% off
Large 45 L Laptop Backpack 45 Liters Waterproof Unisex ...,₹499,,ZEELEX,"₹2,199",77% off
Small 16 L Backpack Carry On,₹232,,Gear,₹498,53% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
Medium 22 L Backpack FLEX 22L BACKPACK CABRET,₹939,,SKYBAGS,"₹1,975",52% off
Medium 27 L Backpack Fuse 27L Backpack Deep Water,₹899,,SKYBAGS,"₹2,000",55% off
Large 35 L Laptop Backpack 009 LARGE SPACY UNISEX,₹419,,Aaronic,"₹1,299",67% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Medium 27 L Backpack Fuse 27L Backpack Green,₹899,,SKYBAGS,"₹2,000",55% off
