name,price,rr,brand,orignal_price,discount
Women Solid Denim Jacket,₹329,,KASHIAN,₹699,52% off
Women Solid Denim Jacket,₹329,,KASHIAN,₹699,52% off
Men Washed Casual Jacket,₹699,,MONTREZ,"₹2,499",72% off
Men Solid Casual Jacket,"₹1,079",,ADIDAS,"₹3,599",70% off
Men Solid Casual Jacket,"₹1,079",,ADIDAS,"₹3,599",70% off
Men Solid Denim Jacket,₹749,,MONTREZ,"₹2,499",70% off
Men Solid Denim Jacket,₹699,,MONTREZ,"₹2,499",72% off
Men Solid Denim Jacket,"₹2,393",,WROGN,"₹3,799",37% off
Men Solid Casual Jacket,"₹1,379",,ADIDAS,"₹4,599",70% off
Women Solid Denim Jacket,₹349,,MONTREZ,"₹1,499",76% off
Women Solid Jacket,"₹1,583",,HERE&NOW,"₹3,599",56% off
Men Printed Jacket,"₹2,449",,HERE&NOW,"₹4,999",51% off
Women Solid Denim Jacket,₹349,,MONTREZ,"₹1,499",76% off
Women Solid Denim Casual Jacket,₹359,,FUNDAY FASHION,"₹1,499",76% off
Women Solid Denim Jacket,₹349,,MONTREZ,"₹1,499",76% off
Women Solid Jacket,₹349,,MONTREZ,"₹1,999",82% off
Men Solid Casual Jacket,₹478,,GLITO,"₹1,399",65% off
Women Dyed/Ombre Casual Jacket,₹610,,UZARUS,"₹1,999",69% off
Women Solid Denim Jacket,₹359,,FUNDAY FASHION,"₹1,499",76% off
Men & Women Colorblock Bomber Jacket,"₹1,499",,ComicSense,"₹2,699",44% off
Women Solid Casual Jacket,"₹1,371",,HRX by Hrithik Roshan,"₹2,799",51% off
Women Solid Sports Jacket,"₹1,763",,HRX by Hrithik Roshan,"₹3,599",51% off
Men Colorblock Quilted Jacket,"₹2,438",,DUCATI,"₹8,999",72% off
Men Washed Casual Jacket,₹699,,MONTREZ,"₹2,499",72% off
Men Solid Denim Casual Jacket,₹799,,KOTTY,"₹2,999",73% off
Men Solid Bomber Jacket,"₹1,260",,Roadster,"₹2,799",54% off
Men Colorblock Casual Jacket,₹729,,Ryker,"₹2,499",70% off
Women Solid Casual Jacket,"₹1,959",,HRX by Hrithik Roshan,"₹2,299",14% off
Men Solid Casual Jacket,"₹1,199",,ADIDAS,"₹3,999",70% off
X 1DER Men Printed Casual Jacket,"₹1,349",,PUMA,"₹4,499",70% off
Women Self Design Casual Jacket,₹930,,HRX by Hrithik Roshan,"₹1,299",28% off
Men Solid Padded Jacket,₹686,,Ryker,"₹1,599",57% off
