name,price,rr,brand,orignal_price,discount
Junior Zero1 Sports Running Shoes for Men | Gym Trainin...,"₹1,099",,Airson,"₹2,199",50% off
FAST Trenddy Tainer Lace-ups Sporty Casuals Running Sho...,₹289,,SFR,₹998,71% off
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,,aadi,₹999,70% off
New Design Lightweight Stylish and Trendy walking shoes...,₹399,,BIRDE,₹999,60% off
Casuals For Men,₹299,,Nobelite,"₹1,386",78% off
Trendy Sports Running Running Shoes For Men,₹299,,BRUTON,"₹1,299",76% off
Combo Pack Of 2 Casual Shoes Sneakers For Men,₹449,,BIRDE,₹999,55% off
Sneakers For Men,₹699,,RapidBox,₹999,30% off
Premium Sports Shoes For Men Pack Of 2 Sneakers For Men,₹449,,BIRDE,"₹1,998",77% off
Synthetic Leather Lace Up For Men,₹449,,aadi,"₹1,999",77% off
Sneakers For Men,₹579,,RapidBox,₹999,42% off
SM-676 Running Shoes For Men,"₹1,189",,Sparx,"₹1,399",15% off
Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹599,,aadi,"₹1,999",70% off
Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,,aadi,"₹1,999",85% off
Trendy Sport Shoes For Men Pack Of 2 Walking Shoes For ...,₹449,,BIRDE,"₹1,498",70% off
Combo Pack of 2 Sports Shoes Running Shoes For Men,₹449,,BIRDE,₹998,55% off
SM-657 Running Shoes For Men,"₹1,319",,Sparx,"₹1,649",20% off
Running Shoes For Men,"₹1,099",,asian,"₹1,999",45% off
Casual Loafers For Men,₹293,,AJANTA,₹699,58% off
Casual Loafers For Men,₹293,,AJANTA,₹699,58% off
Casual Sneakers Loafers Driving Shoes For Boys And Men ...,₹499,,Labbin,"₹1,249",60% off
Stylish Classic Suede Footwear Loafers For Men,₹599,,GODIGO,₹999,40% off
Running Shoes For Men,₹299,,aadi,₹999,70% off
"Stylish Comfortable Lightweight, Breathable Black Runni...",₹299,,BIRDE,₹999,70% off
Combo Pack of 2 Casual Shoes Sneakers For Men,₹449,,BIRDE,"₹1,998",77% off
Fit-Man Slip On Sneakers For Men,₹199,,BRUTON,"₹1,299",84% off
480 Running Shoes For Men,"₹2,250",,New Balance,"₹4,999",54% off
Premium White Sneakers For women Sneakers For Men,₹369,,BIRDE,₹999,63% off
Sneakers For Women,₹299,,Kraasa,₹999,70% off
High Tops For Men,₹298,,SFR,₹999,70% off
Running Shoes For Men,₹979,,KILLER,"₹4,999",80% off
ALL STAR Hightop canvas ankel length boots High Tops Fo...,₹450,,Aadwin,₹999,54% off
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,,aadi,"₹1,999",85% off
Loafers For Men,₹699,,Bata,₹999,30% off
Casual Loafers For Men,₹293,,AJANTA,₹699,58% off
Mesh| Ultralightweight| Premiun| Comfort| Summer Tendy|...,₹499,,aadi,"₹1,999",75% off
Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹449,,BRUTON,"₹2,499",82% off
